Date	Friday, May 01, 2009,  12:36:07 PM
SystemName	Pathway
Well	Well D11
Plate	96 Well BD Falcon Imaging [353219]
Brand	BD Falcon
Wells	96
Objective	20X NA 075 Olympus Confocal
Offset	858993459
ZRelativeDisplacement	200.000000
Gain	15
SamplingRate Hz	12000
StartingFocusPosition microns	5401.570000
SearchSpan microns	2000.000000
DataPointsGathered	2000
Algorithm	DoubleThreshold
UseRollingAverageWidth	0
RollingAverageWidth	20
InFocusIndex	940



---DATA TABLE---
Index	Position	Intensity	InFocusPosition	SmoothedData
608	-1787	0.222457		
609	-1794	0.220676		
610	-1801	0.221324		
611	-1808	0.223591		
612	-1815	0.215818		
613	-1821	0.221162		
614	-1828	0.228125		
615	-1835	0.227316		
616	-1841	0.223915		
617	-1848	0.226668		
618	-1855	0.224239		
619	-1861	0.224887		
620	-1867	0.225696		
621	-1874	0.223753		
622	-1881	0.225858		
623	-1888	0.228449		
624	-1894	0.226344		
625	-1901	0.234279		
626	-1908	0.227640		
627	-1915	0.222457		
628	-1922	0.228611		
629	-1929	0.232336		
630	-1936	0.230878		
631	-1942	0.228935		
632	-1949	0.230716		
633	-1956	0.231040		
634	-1964	0.231526		
635	-1971	0.230392		
636	-1978	0.229421		
637	-1986	0.231364		
638	-1993	0.232660		
639	-2000	0.233631		
640	-2008	0.234441		
641	-2015	0.232012		
642	-2023	0.232174		
643	-2030	0.234603		
644	-2037	0.234279		
645	-2044	0.234117		
646	-2052	0.238327		
647	-2059	0.235736		
648	-2066	0.236870		
649	-2073	0.220352		
650	-2079	0.238004		
651	-2086	0.245939		
652	-2093	0.238975		
653	-2100	0.238813		
654	-2106	0.239461		
655	-2113	0.235898		
656	-2120	0.236870		
657	-2127	0.236870		
658	-2134	0.240109		
659	-2141	0.239623		
660	-2148	0.250959		
661	-2155	0.238651		
662	-2163	0.227963		
663	-2170	0.240595		
664	-2177	0.238975		
665	-2184	0.241890		
666	-2192	0.243348		
667	-2199	0.242862		
668	-2207	0.243348		
669	-2215	0.245129		
670	-2222	0.244319		
671	-2230	0.244967		
672	-2238	0.244805		
673	-2246	0.267800		
674	-2254	0.248044		
675	-2262	0.247882		
676	-2270	0.250311		
677	-2278	0.253064		
678	-2286	0.250149		
679	-2293	0.249501		
680	-2301	0.250473		
681	-2309	0.252092		
682	-2317	0.254521		
683	-2324	0.253064		
684	-2332	0.254197		
685	-2339	0.251121		
686	-2346	0.268934		
687	-2354	0.256303		
688	-2361	0.254197		
689	-2368	0.257598		
690	-2376	0.258894		
691	-2383	0.259865		
692	-2391	0.258894		
693	-2398	0.257598		
694	-2406	0.260837		
695	-2414	0.261323		
696	-2422	0.270391		
697	-2430	0.247558		
698	-2437	0.265695		
699	-2445	0.265533		
700	-2454	0.269420		
701	-2462	0.263590		
702	-2470	0.266019		
703	-2478	0.265857		
704	-2487	0.268610		
705	-2495	0.269420		
706	-2503	0.267800		
707	-2512	0.271849		
708	-2520	0.266343		
709	-2529	0.274926		
710	-2537	0.277841		
711	-2545	0.273144		
712	-2553	0.273630		
713	-2561	0.273306		
714	-2569	0.273954		
715	-2577	0.276869		
716	-2584	0.272982		
